Race/Ethnicity,n,Recidivism Rate,Predicted Positive Rate,TPR (Recall),FPR,AUC-ROC
African American,58470,0.46415255686676926,0.4172909184197024,0.5731972438188585,0.2822444224569915,0.7073787494573525
American Indian or Alaskan Native,11897,0.5582920063881651,0.5693031856770614,0.6799156880457693,0.42949571836346334,0.6833687450417162
Asian or Pacific Islander,2546,0.396700706991359,0.4293008641005499,0.6336633663366337,0.294921875,0.7215839650371287
Caucasian,179717,0.40249392099801357,0.3665318250360289,0.534416257689915,0.25344098638505524,0.7037214105830816
Hispanic,18920,0.3964587737843552,0.3266384778012685,0.4703372883615518,0.23224450477274716,0.6712348736781093
